Hugo Symbol	Entrez Gene ID	GRCh37 Isoform	GRCh37 RefSeq	GRCh38 Isoform	GRCh38 RefSeq	Gene Type	# of occurrence within resources (Column J-P)	OncoKB Annotated	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	COSMIC CGC (v99)	Gene Aliases
IL3	3562	ENST00000296870	NM_000588.3	ENST00000296870	NM_000588.3	ONCOGENE	2	Yes	No	No	No	Yes	No	No	IL-3, MCGF, MGC79398, MGC79399, MULTI-CSF
IL6ST	3572	ENST00000381298		ENST00000381298		ONCOGENE	2	Yes	No	No	No	No	No	Yes	CD130, GP130, IL-6RB, sGP130
IRF2	3660	ENST00000393593	NM_002199	ENST00000393593	NM_002199	TSG	2	Yes	No	No	Yes	No	No	No	
ITK	3702						2	No	No	No	No	Yes	No	Yes	EMT, LYK, PSCTK2
JAZF1	221895	ENST00000283928	NM_175061.3	ENST00000283928	NM_175061.4	ONCOGENE	2	Yes	No	No	No	Yes	No	No	DKFZp761K2222, TIP27, ZNF802
KBTBD4	55709	ENST00000430070		ENST00000430070		INSUFFICIENT_EVIDENCE	2	Yes	Yes	No	No	No	No	No	BKLHD4, FLJ10450, HSPC252
KEL	3792	ENST00000355265	NM_000420	ENST00000355265	NM_000420	ONCOGENE	2	Yes	No	No	Yes	No	No	No	CD238, ECE3
KIF5B	3799						2	No	No	No	No	Yes	No	Yes	KNS, KNS1
KLF5	688	ENST00000377687	NM_001730.4	ENST00000377687	NM_001730.4	ONCOGENE	2	Yes	Yes	No	No	No	No	No	BTEB2, IKLF
KSR2	283455	ENST00000339824		ENST00000339824	NM_173598.6	ONCOGENE	2	Yes	No	Yes	No	No	No	No	FLJ25965
LMNA	4000	ENST00000368300	NM_170707	ENST00000368300	NM_170707	ONCOGENE	2	Yes	No	No	No	No	No	Yes	CMD1A, HGPS, LGMD1B, LMN1, LMNL1, PRO1
LPP	4026						2	No	No	No	No	Yes	No	Yes	
LTB	4050	ENST00000376117	NM_002341.1	ENST00000376117	NM_002341.1	ONCOGENE_AND_TSG	2	Yes	No	Yes	No	No	No	No	TNFC, TNFSF3
LTK	4058	ENST00000263800	NM_002344	ENST00000263800	NM_002344	ONCOGENE	2	Yes	No	No	Yes	No	No	No	TYK1
LYL1	4066						2	No	No	No	No	Yes	No	Yes	bHLHa18
MAD2L2	10459	ENST00000235310	NM_001127325.1	ENST00000235310	NM_001127325.1	ONCOGENE_AND_TSG	2	Yes	Yes	No	No	No	No	No	FANCV, MAD2B, POLZ2, REV7
MAML2	84441	ENST00000524717	NM_032427.1	ENST00000524717	NM_032427.4	INSUFFICIENT_EVIDENCE	2	Yes	No	No	No	No	No	Yes	KIAA1819, MAM3
MAP3K7	6885	ENST00000369329	NM_145331	ENST00000369329	NM_145331	ONCOGENE	2	Yes	No	No	No	Yes	No	No	MEKK7, TAK1
MEF2C	4208	ENST00000437473	NM_001193350	ENST00000437473	NM_001193350	ONCOGENE_AND_TSG	2	Yes	No	No	No	Yes	No	No	
MERTK	10461	ENST00000295408	NM_006343.2	ENST00000295408	NM_006343.2	ONCOGENE	2	Yes	No	No	Yes	No	No	No	RP38, Tyro12, c-Eyk, mer
MGAM	8972	ENST00000549489	NM_004668.2	ENST00000549489	NM_004668.2	ONCOGENE	2	Yes	No	Yes	No	No	No	No	
